X,Y,ID,TIPO,AMBITO,CARTELLINO,SPECIE_COM,ALTEZZA_M,D_CHIOMA,D_FUSTO,RIF_CARTOG,CLASSE_CED,RISCHIO,icon_url
9.23372525999743,45.9901320358532,"6173",Alberi,2 - Villa Carlotta - area vivaio serre,"1801",Picea abies,20.0000000000,6.0000000000,55.0000000000,"301",B,0.00,./0.png
9.23354747530921,45.9901298161917,"21565",Alberi,2 - Villa Carlotta - area vivaio serre,"1802",Picea abies,20.0000000000,6.0000000000,73.0000000000,"306",B,0.00,./0.png
9.23349819490182,45.9901956105321,"6175",Alberi,2 - Villa Carlotta - area vivaio serre,"1803",Picea abies,20.0000000000,5.0000000000,52.0000000000,"307",B,0.00,./0.png
9.23347819495708,45.9901436652901,"21569",Alberi,2 - Villa Carlotta - area vivaio serre,"1804",Picea abies,20.0000000000,5.0000000000,67.0000000000,"310",B,0.00,./0.png
9.2335423483145,45.9901725963915,"6177",Alberi,2 - Villa Carlotta - area vivaio serre,"1805",Picea abies,20.0000000000,6.0000000000,50.0000000000,"311",B,0.00,./0.png
9.23356783187056,45.9902098774167,"6182",Alberi,2 - Villa Carlotta - area vivaio serre,1805 bis,Liriodendron tulipifera L.,15.0000000000,6.0000000000,33.0000000000,,B,0.00,./0.png
9.23377602660841,45.9901416900284,"6178",Alberi,2 - Villa Carlotta - area vivaio serre,"1806",Picea abies,20.0000000000,5.0000000000,37.0000000000,"313",B,0.00,./0.png
9.23364790654425,45.990189106278,"21573",Alberi,2 - Villa Carlotta - area vivaio serre,"1807",Picea abies,20.0000000000,6.0000000000,63.0000000000,"314",Non attribuita,0.00,./0.png
9.23370337284449,45.9902023734355,"21603",Alberi,2 - Villa Carlotta - area vivaio serre,"1808",Picea abies,22.0000000000,6.0000000000,72.0000000000,"315",,0.00,./0.png
9.23377841639879,45.9902110223186,"6181",Alberi,2 - Villa Carlotta - area vivaio serre,"1809",Picea abies,20.0000000000,6.0000000000,61.0000000000,"316",B,0.00,./0.png
9.23356252100674,45.9890898384534,"21871",Alberi,2 - Villa Carlotta - area vivaio serre,"1810",Liriodendron tulipifera,12.1010808940,10.0000000000,146.0000000000,"773",C,4.19,./1.png
9.23319440240057,45.9888288865663,"6154",Alberi,1 - Villa Carlotta - area pic nic nord - prato giochi,"1812",Cinnamomum camphora,13.0000000000,10.0000000000,55.0000000000,"817",B,0.00,./0.png
9.23310509574841,45.9882579595879,"21506",Alberi,1 - Villa Carlotta - area pic nic nord - prato giochi,"1814",Pinus strobus,27.7078323360,9.0000000000,82.0000000000,"979",D,36.58,./2.png
9.23318908897337,45.9882584597356,"6157",Alberi,1 - Villa Carlotta - area pic nic nord - prato giochi,"1815",Taxus baccata,14.0000000000,9.0000000000,77.0000000000,979a,B,0.00,./0.png
9.23302987446512,45.9882893802574,"6147",Alberi,1 - Villa Carlotta - area pic nic nord - prato giochi,"1816",Pinus wallichiana,27.0000000000,10.0000000000,75.0000000000,"980",B,0.00,./0.png
9.23307984286666,45.9883477807372,"6148",Alberi,1 - Villa Carlotta - area pic nic nord - prato giochi,"1817",Pinus wallichiana,26.0000000000,12.0000000000,81.0000000000,"981",B,0.00,./0.png
9.23326828542499,45.9884602878504,"6726",Alberi,1 - Villa Carlotta - area pic nic nord - prato giochi,"1818",Pinus wallichiana,35.9865570070,9.0000000000,75.0000000000,"983",C,27.77,./3.png
9.23337807735502,45.9885131568591,"6150",Alberi,1 - Villa Carlotta - area pic nic nord - prato giochi,"1819",Fagus sylvatica,18.0000000000,9.0000000000,53.0000000000,"984",B,0.00,./0.png
9.23323747220032,45.9885757714207,"21872",Alberi,1 - Villa Carlotta - area pic nic nord - prato giochi,"1820",Metasequoia glyptostroboides,20.0000000000,8.0000000000,66.0000000000,"986",D,9.53,./1.png
9.23332007139005,45.98868997046,"6152",Alberi,1 - Villa Carlotta - area pic nic nord - prato giochi,"1821",Liriodendron tulipifera,22.0000000000,10.0000000000,83.0000000000,"987",B,0.00,./0.png
